"","gene_name","gene_alias","gene_title","chr","map"
"ISG15","ISG15","ISG15","ISG15 ubiquitin-like modifier","1","1p36.33"
"ISG20","ISG20","ISG20","interferon stimulated exonuclease gene 20","15","15q26.1"
"ISG20L2","ISG20L2","ISG20L2","interferon stimulated exonuclease gene 20 like 2","1","1q23.1"
"ISOC1","ISOC1","ISOC1","isochorismatase domain containing 1","5","5q23.3"
"ISOC2","ISOC2","ISOC2","isochorismatase domain containing 2","19","19q13.42"
"IST1","IST1","IST1","IST1, ESCRT-III associated factor","16","16q22.2"
"ISY1","ISY1","ISY1","ISY1 splicing factor homolog","3","3q21.3"
"ISYNA1","ISYNA1","ISYNA1","inositol-3-phosphate synthase 1","19","19p13.11"
"ITCH","ITCH","ITCH","itchy E3 ubiquitin protein ligase","20","20q11.22"
"ITFG2","ITFG2","ITFG2","integrin alpha FG-GAP repeat containing 2","12","12p13.33"
"ITFG3","ITFG3","ITFG3",NA,NA,NA
"ITGA4","ITGA4","ITGA4","integrin subunit alpha 4","2","2q31.3"
"ITGA5","ITGA5","ITGA5","integrin subunit alpha 5","12","12q13.13"
"ITGA6","ITGA6","ITGA6","integrin subunit alpha 6","2","2q31.1"
"ITGAL","ITGAL","ITGAL","integrin subunit alpha L","16","16p11.2"
"ITGAM","ITGAM","ITGAM","integrin subunit alpha M","16","16p11.2"
"ITGB1","ITGB1","ITGB1","integrin subunit beta 1","10","10p11.22"
"ITGB1BP1","ITGB1BP1","ITGB1BP1","integrin subunit beta 1 binding protein 1","2","2p25.1"
"ITGB2","ITGB2","ITGB2","integrin subunit beta 2","21","21q22.3"
"ITGB5","ITGB5","ITGB5","integrin subunit beta 5","3","3q21.2"
"ITGB7","ITGB7","ITGB7","integrin subunit beta 7","12","12q13.13"
"ITIH1","ITIH1","ITIH1","inter-alpha-trypsin inhibitor heavy chain 1","3","3p21.1"
"ITIH2","ITIH2","ITIH2","inter-alpha-trypsin inhibitor heavy chain 2","10","10p14"
"ITIH3","ITIH3","ITIH3","inter-alpha-trypsin inhibitor heavy chain 3","3","3p21.1"
"ITIH4","ITIH4","ITIH4","inter-alpha-trypsin inhibitor heavy chain family member 4","3","3p21.1"
"ITK","ITK","ITK","IL2 inducible T cell kinase","5","5q33.3"
"ITM2A","ITM2A","ITM2A","integral membrane protein 2A","X","Xq21.1"
"ITM2B","ITM2B","ITM2B","integral membrane protein 2B","13","13q14.2"
"ITPA","ITPA","ITPA","inosine triphosphatase","20","20p13"
"ITPK1","ITPK1","ITPK1","inositol-tetrakisphosphate 1-kinase","14","14q32.12"
"ITPKB","ITPKB","ITPKB","inositol-trisphosphate 3-kinase B","1","1q42.12"
"ITPR1","ITPR1","ITPR1","inositol 1,4,5-trisphosphate receptor type 1","3","3p26.1"
"ITPR2","ITPR2","ITPR2","inositol 1,4,5-trisphosphate receptor type 2","12","12p11.23"
"ITPR3","ITPR3","ITPR3","inositol 1,4,5-trisphosphate receptor type 3","6","6p21.31"
"ITPRIP","ITPRIP","ITPRIP","inositol 1,4,5-trisphosphate receptor interacting protein","10","10q25.1"
"ITSN1","ITSN1","ITSN1","intersectin 1","21","21q22.11"
"ITSN2","ITSN2","ITSN2","intersectin 2","2","2p23.3"
"IVD","IVD","IVD","isovaleryl-CoA dehydrogenase","15","15q15.1"
"IVNS1ABP","IVNS1ABP","IVNS1ABP","influenza virus NS1A binding protein","1","1q25.3"
"IWS1","IWS1","IWS1","IWS1, SUPT6H interacting protein","2","2q14.3"
"JAGN1","JAGN1","JAGN1","jagunal homolog 1","3","3p25.3"
"JAK1","JAK1","JAK1","Janus kinase 1","1","1p31.3"
"JAK2","JAK2","JAK2","Janus kinase 2","9","9p24.1"
"JAK3","JAK3","JAK3","Janus kinase 3","19","19p13.11"
"JARID1C","JARID1C","JARID1C;KDM5C",NA,NA,NA
"JHDM1D","JHDM1D","JHDM1D",NA,NA,NA
"JMJD1C","JMJD1C","JMJD1C","jumonji domain containing 1C","10","10q21.3"
"JMJD6","JMJD6","JMJD6","jumonji domain containing 6, arginine demethylase and lysine hydroxylase","17","17q25.1"
"JMJD7","JMJD7","JMJD7","jumonji domain containing 7","15","15q15.1"
"JRKL","JRKL","JRKL","JRK like","11","11q21"
"JTB","JTB","JTB","jumping translocation breakpoint","1","1q21.3"
"JUN","JUN","JUN","Jun proto-oncogene, AP-1 transcription factor subunit","1","1p32.1"
"JUNB","JUNB","JUNB","JunB proto-oncogene, AP-1 transcription factor subunit","19","19p13.13"
"JUND","JUND","JUND","JunD proto-oncogene, AP-1 transcription factor subunit","19","19p13.11"
"JUP","JUP","JUP","junction plakoglobin","17","17q21.2"
"KANK1","KANK1","KANK1","KN motif and ankyrin repeat domains 1","9","9p24.3"
"KANSL1","KANSL1","KANSL1","KAT8 regulatory NSL complex subunit 1","17","17q21.31"
"KANSL2","KANSL2","KANSL2","KAT8 regulatory NSL complex subunit 2","12","12q13.11"
"KANSL3","KANSL3","KANSL3","KAT8 regulatory NSL complex subunit 3","2","2q11.2"
"KARS","KARS","KARS","lysyl-tRNA synthetase","16","16q23.1"
"KAT2A","KAT2A","KAT2A","lysine acetyltransferase 2A","17","17q21.2"
"KAT5","KAT5","KAT5","lysine acetyltransferase 5","11","11q13.1"
"KAT6A","KAT6A","KAT6A;MYST3","lysine acetyltransferase 6A","8","8p11.21"
"KAT6B","KAT6B","KAT6B","lysine acetyltransferase 6B","10","10q22.2"
"KAT7","KAT7","KAT7","lysine acetyltransferase 7","17","17q21.33"
"KAT8","KAT8","KAT8","lysine acetyltransferase 8","16","16p11.2"
"KATNA1","KATNA1","KATNA1","katanin catalytic subunit A1","6","6q25.1"
"KATNAL2","KATNAL2","KATNAL2","katanin catalytic subunit A1 like 2","18","18q21.1"
"KATNB1","KATNB1","KATNB1","katanin regulatory subunit B1","16","16q21"
"KBTBD11","KBTBD11","KBTBD11","kelch repeat and BTB domain containing 11","8","8p23.3"
"KBTBD2","KBTBD2","KBTBD2","kelch repeat and BTB domain containing 2","7","7p14.3"
"KBTBD4","KBTBD4","KBTBD4","kelch repeat and BTB domain containing 4","11","11p11.2"
"KBTBD6","KBTBD6","KBTBD6","kelch repeat and BTB domain containing 6","13","13q14.11"
"KBTBD8","KBTBD8","KBTBD8","kelch repeat and BTB domain containing 8","3","3p14.1"
"KCMF1","KCMF1","KCMF1","potassium channel modulatory factor 1","2","2p11.2"
"KCNA3","KCNA3","KCNA3;KCNA1","potassium voltage-gated channel subfamily A member 3","1","1p13.3"
"KCNA7","KCNA7","KCNA7","potassium voltage-gated channel subfamily A member 7","19","19q13.33"
"KCNAB2","KCNAB2","KCNAB2","potassium voltage-gated channel subfamily A regulatory beta subunit 2","1","1p36.31"
"KCNJ16","KCNJ16","KCNJ16","potassium voltage-gated channel subfamily J member 16","17","17q24.3"
"KCNN4","KCNN4","KCNN4","potassium calcium-activated channel subfamily N member 4","19","19q13.31"
"KCTD10","KCTD10","KCTD10","potassium channel tetramerization domain containing 10","12","12q24.11"
"KCTD12","KCTD12","KCTD12","potassium channel tetramerization domain containing 12","13","13q22.3"
"KCTD18","KCTD18","KCTD18","potassium channel tetramerization domain containing 18","2","2q33.1"
"KCTD21","KCTD21","KCTD21","potassium channel tetramerization domain containing 21","11","11q14.1"
"KCTD5","KCTD5","KCTD5","potassium channel tetramerization domain containing 5","16","16p13.3"
"KCTD9","KCTD9","KCTD9","potassium channel tetramerization domain containing 9","8","8p21.2"
"KDELC2","KDELC2","KDELC2","KDEL motif containing 2","11","11q22.3"
"KDM1A","KDM1A","KDM1A","lysine demethylase 1A","1","1p36.12"
"KDM1B","KDM1B","KDM1B","lysine demethylase 1B","6","6p22.3"
"KDM2A","KDM2A","KDM2A;kdm2a","lysine demethylase 2A","11","11q13.2"
"KDM2B","KDM2B","KDM2B","lysine demethylase 2B","12","12q24.31"
"KDM3A","KDM3A","KDM3A","lysine demethylase 3A","2","2p11.2"
"KDM3B","KDM3B","KDM3B","lysine demethylase 3B","5","5q31.2"
"KDM4A","KDM4A","KDM4A","lysine demethylase 4A","1","1p34.2-p34.1"
"KDM4B","KDM4B","KDM4B","lysine demethylase 4B","19","19p13.3"
"KDM4C","KDM4C","KDM4C","lysine demethylase 4C","9","9p24.1"
"KDM5A","KDM5A","KDM5A","lysine demethylase 5A","12","12p13.33"
"KDM6A","KDM6A","KDM6A","lysine demethylase 6A","X","Xp11.3"
"KDM6B","KDM6B","KDM6B","lysine demethylase 6B","17","17p13.1"
"KDM8","KDM8","KDM8","lysine demethylase 8","16","16p12.1"
"KDSR","KDSR","KDSR","3-ketodihydrosphingosine reductase","18","18q21.33"
"KEAP1","KEAP1","KEAP1","kelch like ECH associated protein 1","19","19p13.2"
"KHDRBS1","KHDRBS1","KHDRBS1","KH RNA binding domain containing, signal transduction associated 1","1","1p35.2"
"KHK","KHK","KHK","ketohexokinase","2","2p23.3"
"KHNYN","KHNYN","KHNYN","KH and NYN domain containing","14","14q12"
"KHSRP","KHSRP","KHSRP","KH-type splicing regulatory protein","19","19p13.3"
"KIAA0020","KIAA0020","KIAA0020",NA,NA,NA
"KIAA0100","KIAA0100","KIAA0100","KIAA0100","17","17q11.2"
"KIAA0196","KIAA0196","KIAA0196",NA,NA,NA
"KIAA0240","KIAA0240","KIAA0240",NA,NA,NA
"KIAA0355","KIAA0355","KIAA0355","KIAA0355","19","19q13.11"
"KIAA0391","KIAA0391","KIAA0391","KIAA0391","14","14q13.2"
"KIAA0430","KIAA0430","KIAA0430",NA,NA,NA
"KIAA0513","KIAA0513","KIAA0513","KIAA0513","16","16q24.1"
"KIAA0528","KIAA0528","KIAA0528",NA,NA,NA
"KIAA0564","KIAA0564","KIAA0564",NA,NA,NA
"KIAA0664","KIAA0664","KIAA0664",NA,NA,NA
"KIAA0907","KIAA0907","KIAA0907",NA,NA,NA
"KIAA0913","KIAA0913","KIAA0913",NA,NA,NA
"KIAA0922","KIAA0922","KIAA0922",NA,NA,NA
"KIAA0930","KIAA0930","KIAA0930;C22orf9","KIAA0930","22","22q13.31"
"KIAA0947","KIAA0947","KIAA0947",NA,NA,NA
"KIAA1009","KIAA1009","KIAA1009",NA,NA,NA
"KIAA1033","KIAA1033","KIAA1033",NA,NA,NA
"KIAA1143","KIAA1143","KIAA1143","KIAA1143","3","3p21.31"
"KIAA1191","KIAA1191","KIAA1191","KIAA1191","5","5q35.2"
"KIAA1279","KIAA1279","KIAA1279",NA,NA,NA
"KIAA1429","KIAA1429","KIAA1429",NA,NA,NA
"KIAA1467","KIAA1467","KIAA1467;DKFZp762C0813",NA,NA,NA
"KIAA1468","KIAA1468","KIAA1468",NA,NA,NA
"KIAA1524","KIAA1524","KIAA1524",NA,NA,NA
"KIAA1609","KIAA1609","KIAA1609",NA,NA,NA
"KIAA1671","KIAA1671","KIAA1671","KIAA1671","22","22q11.23"
"KIAA1704","KIAA1704","KIAA1704",NA,NA,NA
"KIAA1731","KIAA1731","KIAA1731",NA,NA,NA
"KIAA1967","KIAA1967","KIAA1967",NA,NA,NA
"KIAA2013","KIAA2013","KIAA2013","KIAA2013","1","1p36.22"
"KIDINS220","KIDINS220","KIDINS220","kinase D interacting substrate 220","2","2p25.1"
"KIF11","KIF11","KIF11","kinesin family member 11","10","10q23.33"
"KIF13B","KIF13B","KIF13B","kinesin family member 13B","8","8p12"
"KIF14","KIF14","KIF14","kinesin family member 14","1","1q32.1"
"KIF15","KIF15","KIF15","kinesin family member 15","3","3p21.31"
"KIF16B","KIF16B","KIF16B","kinesin family member 16B","20","20p12.1"
"KIF18B","KIF18B","KIF18B","kinesin family member 18B","17","17q21.31"
"KIF1B","KIF1B","KIF1B","kinesin family member 1B","1","1p36.22"
"KIF20A","KIF20A","KIF20A","kinesin family member 20A","5","5q31.2"
"KIF20B","KIF20B","KIF20B","kinesin family member 20B","10","10q23.31"
"KIF21A","KIF21A","KIF21A","kinesin family member 21A","12","12q12"
"KIF21B","KIF21B","KIF21B","kinesin family member 21B","1","1q32.1"
"KIF22","KIF22","KIF22","kinesin family member 22","16","16p11.2"
"KIF23","KIF23","KIF23","kinesin family member 23","15","15q23"
"KIF24","KIF24","KIF24","kinesin family member 24","9","9p13.3"
"KIF2A","KIF2A","KIF2A","kinesin family member 2A","5","5q12.1"
"KIF2C","KIF2C","KIF2C","kinesin family member 2C","1","1p34.1"
"KIF3A","KIF3A","KIF3A","kinesin family member 3A","5","5q31.1"
"KIF3B","KIF3B","KIF3B","kinesin family member 3B","20","20q11.21"
"KIF4A","KIF4A","KIF4A","kinesin family member 4A","X","Xq13.1"
"KIF5B","KIF5B","KIF5B","kinesin family member 5B","10","10p11.22"
"KIF5C","KIF5C","KIF5C","kinesin family member 5C","2","2q23.1-q23.2"
"KIFAP3","KIFAP3","KIFAP3","kinesin associated protein 3","1","1q24.2"
"KIFC1","KIFC1","KIFC1","kinesin family member C1","6","6p21.32"
"KIN","KIN","KIN","Kin17 DNA and RNA binding protein","10","10p14"
"KLC1","KLC1","KLC1","kinesin light chain 1","14","14q32.33"
"KLC2","KLC2","KLC2","kinesin light chain 2","11","11q13.2"
"KLC4","KLC4","KLC4","kinesin light chain 4","6","6p21.1"
"KLF12","KLF12","KLF12","Kruppel like factor 12","13","13q22.1"
"KLF13","KLF13","KLF13","Kruppel like factor 13","15","15q13.3"
"KLF16","KLF16","KLF16","Kruppel like factor 16","19","19p13.3"
"KLF2","KLF2","KLF2","Kruppel like factor 2","19","19p13.11"
"KLF3","KLF3","KLF3","Kruppel like factor 3","4","4p14"
"KLHDC3","KLHDC3","KLHDC3","kelch domain containing 3","6","6p21.1"
"KLHDC4","KLHDC4","KLHDC4","kelch domain containing 4","16","16q24.2"
"KLHDC5","KLHDC5","KLHDC5",NA,NA,NA
"KLHL11","KLHL11","KLHL11","kelch like family member 11","17","17q21.2"
"KLHL12","KLHL12","KLHL12","kelch like family member 12","1","1q32.1"
"KLHL22","KLHL22","KLHL22","kelch like family member 22","22","22q11.21"
"KLHL26","KLHL26","KLHL26","kelch like family member 26","19","19p13.11"
"KLHL36","KLHL36","KLHL36","kelch like family member 36","16","16q24.1"
"KLHL6","KLHL6","KLHL6","kelch like family member 6","3","3q27.1"
"KLHL9","KLHL9","KLHL9;DKFZp686L0695","kelch like family member 9","9","9p21.3"
"KLKB1","KLKB1","KLKB1","kallikrein B1","4","4q35.2"
"KNG1","KNG1","KNG1","kininogen 1","3","3q27.3"
"KNTC1","KNTC1","KNTC1","kinetochore associated 1","12","12q24.31"
"KPNA1","KPNA1","KPNA1","karyopherin subunit alpha 1","3","3q21.1"
"KPNA2","KPNA2","KPNA2","karyopherin subunit alpha 2","17","17q24.2"
"KPNA3","KPNA3","KPNA3","karyopherin subunit alpha 3","13","13q14.2"
"KPNA4","KPNA4","KPNA4","karyopherin subunit alpha 4","3","3q25.33"
"KPNA6","KPNA6","KPNA6","karyopherin subunit alpha 6","1","1p35.2"
"KPNB1","KPNB1","KPNB1","karyopherin subunit beta 1","17","17q21.32"
"KPTN","KPTN","KPTN","kaptin, actin binding protein","19","19q13.32"
"KRAS","KRAS","KRAS","KRAS proto-oncogene, GTPase","12","12p12.1"
"KRI1","KRI1","KRI1","KRI1 homolog","19","19p13.2"
"KRIT1","KRIT1","KRIT1","KRIT1, ankyrin repeat containing","7","7q21.2"
"KRR1","KRR1","KRR1","KRR1, small subunit processome component homolog","12","12q21.2"
"KRT2","KRT2","KRT2","keratin 2","12","12q13.13"
"KRT6B","KRT6B","KRT6B","keratin 6B","12","12q13.13"
"KRTCAP2","KRTCAP2","KRTCAP2","keratinocyte associated protein 2","1","1q22"
"KSR1","KSR1","KSR1","kinase suppressor of ras 1","17","17q11.2"
"KTI12","KTI12","KTI12","KTI12 chromatin associated homolog","1","1p32.3"
"KTN1","KTN1","KTN1","kinectin 1","14","14q22.3"
"KXD1","KXD1","KXD1","KxDL motif containing 1","19","19p13.11"
"L2HGDH","L2HGDH","L2HGDH","L-2-hydroxyglutarate dehydrogenase","14","14q21.3"
"L3MBTL2","L3MBTL2","L3MBTL2","L3MBTL2, polycomb repressive complex 1 subunit","22","22q13.2"
"L3MBTL3","L3MBTL3","L3MBTL3","L3MBTL3, histone methyl-lysine binding protein","6","6q23.1"
"LACC1","LACC1","LACC1;RP11-5G9.2","laccase domain containing 1","13","13q14.11"
"LACE1","LACE1","LACE1",NA,NA,NA
"LACTB","LACTB","LACTB","lactamase beta","15","15q22.2"
"LACTB2","LACTB2","LACTB2","lactamase beta 2","8","8q13.3"
"LAG3","LAG3","LAG3","lymphocyte activating 3","12","12p13.31"
"LAGE3","LAGE3","LAGE3","L antigen family member 3","X","Xq28"
"LAIR1","LAIR1","LAIR1","leukocyte associated immunoglobulin like receptor 1","19","19q13.42"
"LAMP1","LAMP1","LAMP1","lysosomal associated membrane protein 1","13","13q34"
"LAMP2","LAMP2","LAMP2","lysosomal associated membrane protein 2","X","Xq24"
"LAMP3","LAMP3","LAMP3","lysosomal associated membrane protein 3","3","3q27.1"
"LAMTOR1","LAMTOR1","LAMTOR1","late endosomal/lysosomal adaptor, MAPK and MTOR activator 1","11","11q13.4"
"LAMTOR2","LAMTOR2","LAMTOR2","late endosomal/lysosomal adaptor, MAPK and MTOR activator 2","1","1q22"
"LAMTOR3","LAMTOR3","LAMTOR3","late endosomal/lysosomal adaptor, MAPK and MTOR activator 3","4","4q23"
"LANCL1","LANCL1","LANCL1","LanC like 1","2","2q34"
"LANCL2","LANCL2","LANCL2","LanC like 2","7","7p11.2"
"LAP3","LAP3","LAP3","leucine aminopeptidase 3","4","4p15.32"
"LAPTM5","LAPTM5","LAPTM5","lysosomal protein transmembrane 5","1","1p35.2"
"LARP1","LARP1","LARP1","La ribonucleoprotein domain family member 1","5","5q33.2"
"LARP1B","LARP1B","LARP1B","La ribonucleoprotein domain family member 1B","4","4q28.2"
"LARP4","LARP4","LARP4","La ribonucleoprotein domain family member 4","12","12q13.12"
"LARP4B","LARP4B","LARP4B","La ribonucleoprotein domain family member 4B","10","10p15.3"
"LARP7","LARP7","LARP7","La ribonucleoprotein domain family member 7","4","4q25"
"LARS","LARS","LARS","leucyl-tRNA synthetase","5","5q32"
"LARS2","LARS2","LARS2","leucyl-tRNA synthetase 2, mitochondrial","3","3p21.31"
"LAS1L","LAS1L","LAS1L","LAS1 like, ribosome biogenesis factor","X","Xq12"
"LASP1","LASP1","LASP1","LIM and SH3 protein 1","17","17q12"
"LAT","LAT","LAT","linker for activation of T cells","16","16p11.2"
"LATS1","LATS1","LATS1","large tumor suppressor kinase 1","6","6q25.1"
"LAX1","LAX1","LAX1","lymphocyte transmembrane adaptor 1","1","1q32.1"
"LBH","LBH","LBH","limb bud and heart development","2","2p23.1"
"LBP","LBP","LBP","lipopolysaccharide binding protein","20","20q11.23"
"LBR","LBR","LBR","lamin B receptor","1","1q42.12"
"LCAT","LCAT","LCAT","lecithin-cholesterol acyltransferase","16","16q22.1"
"LCHN","LCHN","LCHN;KIAA1147",NA,NA,NA
"LCK","LCK","LCK","LCK proto-oncogene, Src family tyrosine kinase","1","1p35.2"
"LCLAT1","LCLAT1","LCLAT1","lysocardiolipin acyltransferase 1","2","2p23.1"
"LCMT1","LCMT1","LCMT1","leucine carboxyl methyltransferase 1","16","16p12.1"
"LCMT2","LCMT2","LCMT2","leucine carboxyl methyltransferase 2","15","15q15.3"
"LCN1","LCN1","LCN1","lipocalin 1","9","9q34.3"
"LCP1","LCP1","LCP1","lymphocyte cytosolic protein 1","13","13q14.13"
"LCP2","LCP2","LCP2","lymphocyte cytosolic protein 2","5","5q35.1"
"LDB1","LDB1","LDB1","LIM domain binding 1","10","10q24.32"
"LDHA","LDHA","LDHA","lactate dehydrogenase A","11","11p15.1"
"LDHB","LDHB","LDHB","lactate dehydrogenase B","12","12p12.1"
"LDLR","LDLR","LDLR","low density lipoprotein receptor","19","19p13.2"
"LDLRAP1","LDLRAP1","LDLRAP1","low density lipoprotein receptor adaptor protein 1","1","1p36.11"
"LEF1","LEF1","LEF1","lymphoid enhancer binding factor 1","4","4q25"
"LEMD2","LEMD2","LEMD2","LEM domain containing 2","6","6p21.31"
"LEMD3","LEMD3","LEMD3","LEM domain containing 3","12","12q14.3"
"LENG1","LENG1","LENG1","leukocyte receptor cluster member 1","19","19q13.42"
"LENG8","LENG8","LENG8","leukocyte receptor cluster member 8","19","19q13.42"
"LEO1","LEO1","LEO1","LEO1 homolog, Paf1/RNA polymerase II complex component","15","15q21.2"
"LEPRE1","LEPRE1","LEPRE1",NA,NA,NA
"LEPROTL1","LEPROTL1","LEPROTL1","leptin receptor overlapping transcript like 1","8","8p12"
"LETM1","LETM1","LETM1","leucine zipper and EF-hand containing transmembrane protein 1","4","4p16.3"
"LETMD1","LETMD1","LETMD1","LETM1 domain containing 1","12","12q13.12"
"LGALS1","LGALS1","LGALS1","galectin 1","22","22q13.1"
"LGALS3","LGALS3","LGALS3","galectin 3","14","14q22.3"
"LGALS3BP","LGALS3BP","LGALS3BP","galectin 3 binding protein","17","17q25.3"
"LGALS8","LGALS8","LGALS8","galectin 8","1","1q43"
"LGALS9","LGALS9","LGALS9","galectin 9","17","17q11.2"
"LGMN","LGMN","LGMN","legumain","14","14q32.12"
"LHPP","LHPP","LHPP","phospholysine phosphohistidine inorganic pyrophosphate phosphatase","10","10q26.13"
"LIAS","LIAS","LIAS","lipoic acid synthetase","4","4p14"
"LIF","LIF","LIF","LIF, interleukin 6 family cytokine","22","22q12.2"
"LIG1","LIG1","LIG1","DNA ligase 1","19","19q13.33"
"LIG3","LIG3","LIG3","DNA ligase 3","17","17q12"
"LIG4","LIG4","LIG4","DNA ligase 4","13","13q33.3"
"LIMA1","LIMA1","LIMA1","LIM domain and actin binding 1","12","12q13.12"
"LIMD1","LIMD1","LIMD1","LIM domains containing 1","3","3p21.31"
"LIMD2","LIMD2","LIMD2","LIM domain containing 2","17","17q23.3"
"LIME1","LIME1","LIME1","Lck interacting transmembrane adaptor 1","20","20q13.33"
"LIMK2","LIMK2","LIMK2","LIM domain kinase 2","22","22q12.2"
"LIN37","LIN37","LIN37","lin-37 DREAM MuvB core complex component","19","19q13.12"
"LIN54","LIN54","LIN54","lin-54 DREAM MuvB core complex component","4","4q21.22"
"LIN7C","LIN7C","LIN7C","lin-7 homolog C, crumbs cell polarity complex component","11","11p14.1"
"LIN9","LIN9","LIN9","lin-9 DREAM MuvB core complex component","1","1q42.12"
"LIPA","LIPA","LIPA","lipase A, lysosomal acid type","10","10q23.31"
"LIPE","LIPE","LIPE","lipase E, hormone sensitive type","19","19q13.2"
"LIPT1","LIPT1","LIPT1","lipoyltransferase 1","2","2q11.2"
"LIPT2","LIPT2","LIPT2","lipoyl(octanoyl) transferase 2","11","11q13.4"
"LIX1L","LIX1L","LIX1L","limb and CNS expressed 1 like","1","1q21.1"
"LLGL1","LLGL1","LLGL1","LLGL1, scribble cell polarity complex component","17","17p11.2"
"LLPH","LLPH","LLPH","LLP homolog, long-term synaptic facilitation factor","12","12q14.3"
"LMAN1","LMAN1","LMAN1","lectin, mannose binding 1","18","18q21.32"
"LMAN2","LMAN2","LMAN2","lectin, mannose binding 2","5","5q35.3"
"LMAN2L","LMAN2L","LMAN2L","lectin, mannose binding 2 like","2","2q11.2"
"LMBRD1","LMBRD1","LMBRD1","LMBR1 domain containing 1","6","6q13"
"LMF1","LMF1","LMF1","lipase maturation factor 1","16","16p13.3"
"LMF2","LMF2","LMF2","lipase maturation factor 2","22","22q13.33"
"LMNA","LMNA","LMNA","lamin A/C","1","1q22"
"LMNB1","LMNB1","LMNB1","lamin B1","5","5q23.2"
"LMO7","LMO7","LMO7","LIM domain 7","13","13q22.2"
"LMTK2","LMTK2","LMTK2","lemur tyrosine kinase 2","7","7q21.3"
"LNP","LNP","LNP;KIAA1715",NA,NA,NA
"LNPEP","LNPEP","LNPEP","leucyl and cystinyl aminopeptidase","5","5q15"
"LOC401307","LOC401307","LOC401307",NA,NA,NA
"LOH12CR1","LOH12CR1","LOH12CR1",NA,NA,NA
"LONP1","LONP1","LONP1","lon peptidase 1, mitochondrial","19","19p13.3"
"LONP2","LONP2","LONP2","lon peptidase 2, peroxisomal","16","16q12.1"
"LOXHD1","LOXHD1","LOXHD1","lipoxygenase homology domains 1","18","18q21.1"
"LPA","LPA","LPA","lipoprotein(a)","6","6q25.3-q26"
"LPCAT1","LPCAT1","LPCAT1","lysophosphatidylcholine acyltransferase 1","5","5p15.33"
"LPCAT3","LPCAT3","LPCAT3","lysophosphatidylcholine acyltransferase 3","12","12p13.31"
"LPCAT4","LPCAT4","LPCAT4","lysophosphatidylcholine acyltransferase 4","15","15q14"
"LPGAT1","LPGAT1","LPGAT1","lysophosphatidylglycerol acyltransferase 1","1","1q32.3"
"LPIN1","LPIN1","LPIN1","lipin 1","2","2p25.1"
"LPIN2","LPIN2","LPIN2","lipin 2","18","18p11.31"
"LPP","LPP","LPP","LIM domain containing preferred translocation partner in lipoma","3","3q27.3-q28"
"LPXN","LPXN","LPXN","leupaxin","11","11q12.1"
"LRBA","LRBA","LRBA","LPS responsive beige-like anchor protein","4","4q31.3"
"LRCH1","LRCH1","LRCH1","leucine rich repeats and calponin homology domain containing 1","13","13q14.13-q14.2"
"LRCH3","LRCH3","LRCH3","leucine rich repeats and calponin homology domain containing 3","3","3q29"
"LRCH4","LRCH4","LRCH4","leucine rich repeats and calponin homology domain containing 4","7","7q22.1"
"LRG1","LRG1","LRG1","leucine rich alpha-2-glycoprotein 1","19","19p13.3"
"LRIF1","LRIF1","LRIF1","ligand dependent nuclear receptor interacting factor 1","1","1p13.3"
"LRMP","LRMP","LRMP","lymphoid restricted membrane protein","12","12p12.1"
"LRPAP1","LRPAP1","LRPAP1","LDL receptor related protein associated protein 1","4","4p16.3"
"LRPPRC","LRPPRC","LRPPRC","leucine rich pentatricopeptide repeat containing","2","2p21"
"LRR1","LRR1","LRR1","leucine rich repeat protein 1","14","14q21.3"
"LRRC14","LRRC14","LRRC14","leucine rich repeat containing 14","8","8q24.3"
"LRRC16A","LRRC16A","LRRC16A",NA,NA,NA
"LRRC20","LRRC20","LRRC20","leucine rich repeat containing 20","10","10q22.1"
"LRRC40","LRRC40","LRRC40","leucine rich repeat containing 40","1","1p31.1"
"LRRC41","LRRC41","LRRC41","leucine rich repeat containing 41","1","1p34.1-p33"
"LRRC42","LRRC42","LRRC42","leucine rich repeat containing 42","1","1p32.3"
"LRRC47","LRRC47","LRRC47","leucine rich repeat containing 47","1","1p36.32"
"LRRC57","LRRC57","LRRC57","leucine rich repeat containing 57","15","15q15.2"
"LRRC59","LRRC59","LRRC59","leucine rich repeat containing 59","17","17q21.33"
"LRRC8A","LRRC8A","LRRC8A","leucine rich repeat containing 8 VRAC subunit A","9","9q34.11"
"LRRC8C","LRRC8C","LRRC8C","leucine rich repeat containing 8 VRAC subunit C","1","1p22.2"
"LRRC8D","LRRC8D","LRRC8D","leucine rich repeat containing 8 VRAC subunit D","1","1p22.2"
"LRRCC1","LRRCC1","LRRCC1","leucine rich repeat and coiled-coil centrosomal protein 1","8","8q21.2"
"LRRFIP1","LRRFIP1","LRRFIP1","LRR binding FLII interacting protein 1","2","2q37.3"
"LRRFIP2","LRRFIP2","LRRFIP2","LRR binding FLII interacting protein 2","3","3p22.2"
"LRSAM1","LRSAM1","LRSAM1","leucine rich repeat and sterile alpha motif containing 1","9","9q33.3-q34.11"
"LRWD1","LRWD1","LRWD1","leucine rich repeats and WD repeat domain containing 1","7","7q22.1"
"LSG1","LSG1","LSG1","large 60S subunit nuclear export GTPase 1","3","3q29"
"LSM1","LSM1","LSM1","LSM1 homolog, mRNA degradation associated","8","8p11.23"
"LSM12","LSM12","LSM12","LSM12 homolog","17","17q21.31"
