"ensemble_id","gene_name","description"
"ENSG00000165606","DRGX","dorsal root ganglia homeobox [Source:HGNC Symbol;Acc:HGNC:21536]"
"ENSG00000198680","TUSC1","tumor suppressor candidate 1 [Source:HGNC Symbol;Acc:HGNC:31010]"
"ENSG00000143543","JTB","jumping translocation breakpoint [Source:HGNC Symbol;Acc:HGNC:6201]"
"ENSG00000101298","SNPH","syntaphilin [Source:HGNC Symbol;Acc:HGNC:15931]"
"ENSG00000112096","SOD2","superoxide dismutase 2 [Source:HGNC Symbol;Acc:HGNC:11180]"
"ENSG00000004776","HSPB6","heat shock protein family B (small) member 6 [Source:HGNC Symbol;Acc:HGNC:26511]"
"ENSG00000112763","BTN2A1","butyrophilin subfamily 2 member A1 [Source:HGNC Symbol;Acc:HGNC:1136]"
"ENSG00000088280","ASAP3","ArfGAP with SH3 domain, ankyrin repeat and PH domain 3 [Source:HGNC Symbol;Acc:HGNC:14987]"
"ENSG00000091136","LAMB1","laminin subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:6486]"
"ENSG00000197948","FCHSD1","FCH and double SH3 domains 1 [Source:HGNC Symbol;Acc:HGNC:25463]"
"ENSG00000172987","HPSE2","heparanase 2 (inactive) [Source:HGNC Symbol;Acc:HGNC:18374]"
"ENSG00000225830","ERCC6","ERCC excision repair 6, chromatin remodeling factor [Source:HGNC Symbol;Acc:HGNC:3438]"
"ENSG00000274722","KIR3DL2","killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2 [Source:HGNC Symbol;Acc:HGNC:6339]"
"ENSG00000127863","TNFRSF19","TNF receptor superfamily member 19 [Source:HGNC Symbol;Acc:HGNC:11915]"
"ENSG00000146021","KLHL3","kelch like family member 3 [Source:HGNC Symbol;Acc:HGNC:6354]"
"ENSG00000168769","TET2","tet methylcytosine dioxygenase 2 [Source:HGNC Symbol;Acc:HGNC:25941]"
"ENSG00000235307","BRD2","bromodomain containing 2 [Source:HGNC Symbol;Acc:HGNC:1103]"
"ENSG00000143578","CREB3L4","cAMP responsive element binding protein 3 like 4 [Source:HGNC Symbol;Acc:HGNC:18854]"
"ENSG00000225556","C2CD4D","C2 calcium dependent domain containing 4D [Source:HGNC Symbol;Acc:HGNC:37210]"
"ENSG00000159248","GJD2","gap junction protein delta 2 [Source:HGNC Symbol;Acc:HGNC:19154]"
"ENSG00000196407","THEM5","thioesterase superfamily member 5 [Source:HGNC Symbol;Acc:HGNC:26755]"
"ENSG00000230336","POU5F1","POU class 5 homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9221]"
"ENSG00000159251","ACTC1","actin alpha cardiac muscle 1 [Source:HGNC Symbol;Acc:HGNC:143]"
"ENSG00000148688","RPP30","ribonuclease P/MRP subunit p30 [Source:HGNC Symbol;Acc:HGNC:17688]"
"ENSG00000179299","NSUN7","NOP2/Sun RNA methyltransferase family member 7 [Source:HGNC Symbol;Acc:HGNC:25857]"
"ENSG00000155066","PROM2","prominin 2 [Source:HGNC Symbol;Acc:HGNC:20685]"
"ENSG00000106009","BRAT1","BRCA1 associated ATM activator 1 [Source:HGNC Symbol;Acc:HGNC:21701]"
"ENSG00000198791","CNOT7","CCR4-NOT transcription complex subunit 7 [Source:HGNC Symbol;Acc:HGNC:14101]"
"ENSG00000122477","LRRC39","leucine rich repeat containing 39 [Source:HGNC Symbol;Acc:HGNC:28228]"
"ENSG00000278692","GU182355.8","killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 2"
"ENSG00000109743","BST1","bone marrow stromal cell antigen 1 [Source:HGNC Symbol;Acc:HGNC:1118]"
"ENSG00000197077","KIAA1671","KIAA1671 [Source:HGNC Symbol;Acc:HGNC:29345]"
"ENSG00000018699","TTC27","tetratricopeptide repeat domain 27 [Source:HGNC Symbol;Acc:HGNC:25986]"
"ENSG00000122435","TRMT13","tRNA methyltransferase 13 homolog [Source:HGNC Symbol;Acc:HGNC:25502]"
"ENSG00000163697","APBB2","amyloid beta precursor protein binding family B member 2 [Source:HGNC Symbol;Acc:HGNC:582]"
"ENSG00000120438","TCP1","t-complex 1 [Source:HGNC Symbol;Acc:HGNC:11655]"
"ENSG00000049192","ADAMTS6","ADAM metallopeptidase with thrombospondin type 1 motif 6 [Source:HGNC Symbol;Acc:HGNC:222]"
"ENSG00000100218","RSPH14","radial spoke head 14 homolog [Source:HGNC Symbol;Acc:HGNC:13437]"
"ENSG00000168005","SPINDOC","spindlin interactor and repressor of chromatin binding [Source:HGNC Symbol;Acc:HGNC:25115]"
"ENSG00000177156","TALDO1","transaldolase 1 [Source:HGNC Symbol;Acc:HGNC:11559]"
"ENSG00000146007","ZMAT2","zinc finger matrin-type 2 [Source:HGNC Symbol;Acc:HGNC:26433]"
"ENSG00000091140","DLD","dihydrolipoamide dehydrogenase [Source:HGNC Symbol;Acc:HGNC:2898]"
"ENSG00000110619","CARS1","cysteinyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:1493]"
"ENSG00000172586","CHCHD1","coiled-coil-helix-coiled-coil-helix domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23518]"
"ENSG00000128266","GNAZ","G protein subunit alpha z [Source:HGNC Symbol;Acc:HGNC:4395]"
"ENSG00000079689","SCGN","secretagogin, EF-hand calcium binding protein [Source:HGNC Symbol;Acc:HGNC:16941]"
"ENSG00000197603","CPLANE1","ciliogenesis and planar polarity effector 1 [Source:HGNC Symbol;Acc:HGNC:25801]"
"ENSG00000113532","ST8SIA4","ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:10871]"
"ENSG00000105649","RAB3A","RAB3A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9777]"
"ENSG00000146085","MMUT","methylmalonyl-CoA mutase [Source:HGNC Symbol;Acc:HGNC:7526]"
"ENSG00000179270","PCARE","photoreceptor cilium actin regulator [Source:HGNC Symbol;Acc:HGNC:34383]"
"ENSG00000189350","TOGARAM2","TOG array regulator of axonemal microtubules 2 [Source:HGNC Symbol;Acc:HGNC:33715]"
"ENSG00000254858","MPV17L2","MPV17 mitochondrial inner membrane protein like 2 [Source:HGNC Symbol;Acc:HGNC:28177]"
"ENSG00000101311","FERMT1","fermitin family member 1 [Source:HGNC Symbol;Acc:HGNC:15889]"
"ENSG00000172183","ISG20","interferon stimulated exonuclease gene 20 [Source:HGNC Symbol;Acc:HGNC:6130]"
"ENSG00000243215","HLA-DMA","major histocompatibility complex, class II, DM alpha [Source:HGNC Symbol;Acc:HGNC:4934]"
"ENSG00000136936","XPA","XPA, DNA damage recognition and repair factor [Source:HGNC Symbol;Acc:HGNC:12814]"
"ENSG00000145536","ADAMTS16","ADAM metallopeptidase with thrombospondin type 1 motif 16 [Source:HGNC Symbol;Acc:HGNC:17108]"
"ENSG00000135226","UGT2B28","UDP glucuronosyltransferase family 2 member B28 [Source:HGNC Symbol;Acc:HGNC:13479]"
"ENSG00000230778","ANKRD63","ankyrin repeat domain 63 [Source:HGNC Symbol;Acc:HGNC:40027]"
"ENSG00000232810","TNF","tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892]"
"ENSG00000115380","EFEMP1","EGF containing fibulin extracellular matrix protein 1 [Source:HGNC Symbol;Acc:HGNC:3218]"
"ENSG00000188342","GTF2F2","general transcription factor IIF subunit 2 [Source:HGNC Symbol;Acc:HGNC:4653]"
"ENSG00000154415","PPP1R3A","protein phosphatase 1 regulatory subunit 3A [Source:HGNC Symbol;Acc:HGNC:9291]"
"ENSG00000158292","GPR153","G protein-coupled receptor 153 [Source:HGNC Symbol;Acc:HGNC:23618]"
"ENSG00000214944","ARHGEF28","Rho guanine nucleotide exchange factor 28 [Source:HGNC Symbol;Acc:HGNC:30322]"
"ENSG00000118564","FBXL5","F-box and leucine rich repeat protein 5 [Source:HGNC Symbol;Acc:HGNC:13602]"
"ENSG00000060566","CREB3L3","cAMP responsive element binding protein 3 like 3 [Source:HGNC Symbol;Acc:HGNC:18855]"
"ENSG00000143545","RAB13","RAB13, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9762]"
"ENSG00000013275","PSMC4","proteasome 26S subunit, ATPase 4 [Source:HGNC Symbol;Acc:HGNC:9551]"
"ENSG00000243335","KCTD7","potassium channel tetramerization domain containing 7 [Source:HGNC Symbol;Acc:HGNC:21957]"
"ENSG00000206455","TCF19","transcription factor 19 [Source:HGNC Symbol;Acc:HGNC:11629]"
"ENSG00000180332","KCTD4","potassium channel tetramerization domain containing 4 [Source:HGNC Symbol;Acc:HGNC:23227]"
"ENSG00000179010","MRFAP1","Morf4 family associated protein 1 [Source:HGNC Symbol;Acc:HGNC:24549]"
"ENSG00000241296","HLA-DMB","major histocompatibility complex, class II, DM beta [Source:HGNC Symbol;Acc:HGNC:4935]"
"ENSG00000015520","NPC1L1","NPC1 like intracellular cholesterol transporter 1 [Source:HGNC Symbol;Acc:HGNC:7898]"
"ENSG00000101230","ISM1","isthmin 1 [Source:HGNC Symbol;Acc:HGNC:16213]"
"ENSG00000119946","CNNM1","cyclin and CBS domain divalent metal cation transport mediator 1 [Source:HGNC Symbol;Acc:HGNC:102]"
"ENSG00000173467","AGR3","anterior gradient 3, protein disulphide isomerase family member [Source:HGNC Symbol;Acc:HGNC:24167]"
"ENSG00000164508","H2AC1","H2A clustered histone 1 [Source:HGNC Symbol;Acc:HGNC:18729]"
"ENSG00000136147","PHF11","PHD finger protein 11 [Source:HGNC Symbol;Acc:HGNC:17024]"
"ENSG00000146047","H2BC1","H2B clustered histone 1 [Source:HGNC Symbol;Acc:HGNC:18730]"
"ENSG00000275735","GU182355.5","killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 2"
"ENSG00000214655","ZSWIM8","zinc finger SWIM-type containing 8 [Source:HGNC Symbol;Acc:HGNC:23528]"
"ENSG00000120437","ACAT2","acetyl-CoA acetyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:94]"
"ENSG00000154710","RABGEF1","RAB guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:17676]"
"ENSG00000285779","AL358472.7","novel protein"
"ENSG00000276086","KIR3DL3","killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:16312]"
"ENSG00000143570","SLC39A1","solute carrier family 39 member 1 [Source:HGNC Symbol;Acc:HGNC:12876]"
"ENSG00000124374","PAIP2B","poly(A) binding protein interacting protein 2B [Source:HGNC Symbol;Acc:HGNC:29200]"
"ENSG00000150764","DIXDC1","DIX domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23695]"
"ENSG00000206488","ATAT1","alpha tubulin acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:21186]"
"ENSG00000198876","DCAF12","DDB1 and CUL4 associated factor 12 [Source:HGNC Symbol;Acc:HGNC:19911]"
"ENSG00000100228","RAB36","RAB36, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9775]"
"ENSG00000146457","WTAP","WT1 associated protein [Source:HGNC Symbol;Acc:HGNC:16846]"
"ENSG00000070413","DGCR2","DiGeorge syndrome critical region gene 2 [Source:HGNC Symbol;Acc:HGNC:2845]"
"ENSG00000233917","POTEB","POTE ankyrin domain family member B [Source:HGNC Symbol;Acc:HGNC:33734]"
"ENSG00000156928","MALSU1","mitochondrial assembly of ribosomal large subunit 1 [Source:HGNC Symbol;Acc:HGNC:21721]"
"ENSG00000136231","IGF2BP3","insulin like growth factor 2 mRNA binding protein 3 [Source:HGNC Symbol;Acc:HGNC:28868]"
"ENSG00000103932","RPAP1","RNA polymerase II associated protein 1 [Source:HGNC Symbol;Acc:HGNC:24567]"
"ENSG00000233948","TRIM27","tripartite motif containing 27 [Source:HGNC Symbol;Acc:HGNC:9975]"
"ENSG00000127412","TRPV5","transient receptor potential cation channel subfamily V member 5 [Source:HGNC Symbol;Acc:HGNC:3145]"
"ENSG00000284461","AC027644.4","novel transcript"
"ENSG00000105650","PDE4C","phosphodiesterase 4C [Source:HGNC Symbol;Acc:HGNC:8782]"
"ENSG00000118729","CASQ2","calsequestrin 2 [Source:HGNC Symbol;Acc:HGNC:1513]"
"ENSG00000273735","KIR3DL2","killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2 [Source:HGNC Symbol;Acc:HGNC:6339]"
"ENSG00000163795","ZNF513","zinc finger protein 513 [Source:HGNC Symbol;Acc:HGNC:26498]"
"ENSG00000173930","SLCO4C1","solute carrier organic anion transporter family member 4C1 [Source:HGNC Symbol;Acc:HGNC:23612]"
"ENSG00000175513","TSGA10IP","testis specific 10 interacting protein [Source:HGNC Symbol;Acc:HGNC:26555]"
"ENSG00000132950","ZMYM5","zinc finger MYM-type containing 5 [Source:HGNC Symbol;Acc:HGNC:13029]"
"ENSG00000115234","SNX17","sorting nexin 17 [Source:HGNC Symbol;Acc:HGNC:14979]"
"ENSG00000281742","MCCC2","methylcrotonoyl-CoA carboxylase 2 [Source:HGNC Symbol;Acc:HGNC:6937]"
"ENSG00000177551","NHLH2","nescient helix-loop-helix 2 [Source:HGNC Symbol;Acc:HGNC:7818]"
"ENSG00000285641","AL358472.6","novel protein"
"ENSG00000285441","SOD2","superoxide dismutase 2 [Source:NCBI gene;Acc:6648]"
"ENSG00000105697","HAMP","hepcidin antimicrobial peptide [Source:HGNC Symbol;Acc:HGNC:15598]"
"ENSG00000161905","ALOX15","arachidonate 15-lipoxygenase [Source:HGNC Symbol;Acc:HGNC:433]"
"ENSG00000104763","ASAH1","N-acylsphingosine amidohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:735]"
"ENSG00000227507","LTB","lymphotoxin beta [Source:HGNC Symbol;Acc:HGNC:6711]"
"ENSG00000102760","RGCC","regulator of cell cycle [Source:HGNC Symbol;Acc:HGNC:20369]"
"ENSG00000169184","MN1","MN1 proto-oncogene, transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:7180]"
"ENSG00000043514","TRIT1","tRNA isopentenyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:20286]"
"ENSG00000106733","NMRK1","nicotinamide riboside kinase 1 [Source:HGNC Symbol;Acc:HGNC:26057]"
"ENSG00000124557","BTN1A1","butyrophilin subfamily 1 member A1 [Source:HGNC Symbol;Acc:HGNC:1135]"
"ENSG00000007968","E2F2","E2F transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:3114]"
"ENSG00000158555","GDPD5","glycerophosphodiester phosphodiesterase domain containing 5 [Source:HGNC Symbol;Acc:HGNC:28804]"
"ENSG00000142583","SLC2A5","solute carrier family 2 member 5 [Source:HGNC Symbol;Acc:HGNC:11010]"
"ENSG00000274348","TRPV5","transient receptor potential cation channel subfamily V member 5 [Source:HGNC Symbol;Acc:HGNC:3145]"
"ENSG00000187398","LUZP2","leucine zipper protein 2 [Source:HGNC Symbol;Acc:HGNC:23206]"
"ENSG00000224586","GPX5","glutathione peroxidase 5 [Source:HGNC Symbol;Acc:HGNC:4557]"
"ENSG00000275269","FCAR","Fc fragment of IgA receptor [Source:HGNC Symbol;Acc:HGNC:3608]"
"ENSG00000204308","RNF5","ring finger protein 5 [Source:HGNC Symbol;Acc:HGNC:10068]"
"ENSG00000276518","KIR3DP1","killer cell immunoglobulin like receptor, three Ig domains pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:16343]"
"ENSG00000277650","AL133414.5","killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 5"
"ENSG00000273517","AL133414.1","killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 1"
"ENSG00000172497","ACOT12","acyl-CoA thioesterase 12 [Source:HGNC Symbol;Acc:HGNC:24436]"
"ENSG00000274676","AL133414.3","killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 5A"
"ENSG00000163393","SLC22A15","solute carrier family 22 member 15 [Source:HGNC Symbol;Acc:HGNC:20301]"
"ENSG00000133110","POSTN","periostin [Source:HGNC Symbol;Acc:HGNC:16953]"
"ENSG00000275544","BDH1","3-hydroxybutyrate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:1027]"
"ENSG00000100053","CRYBB3","crystallin beta B3 [Source:HGNC Symbol;Acc:HGNC:2400]"
"ENSG00000103275","UBE2I","ubiquitin conjugating enzyme E2 I [Source:HGNC Symbol;Acc:HGNC:12485]"
"ENSG00000198704","GPX6","glutathione peroxidase 6 [Source:HGNC Symbol;Acc:HGNC:4558]"
"ENSG00000132122","SPATA6","spermatogenesis associated 6 [Source:HGNC Symbol;Acc:HGNC:18309]"
"ENSG00000162385","MAGOH","mago homolog, exon junction complex subunit [Source:HGNC Symbol;Acc:HGNC:6815]"
"ENSG00000276534","AL133414.4","killer cell immunoglobulin-like receptor, three domains, short cytoplasmic tail, 1"
"ENSG00000151834","GABRA2","gamma-aminobutyric acid type A receptor alpha2 subunit [Source:HGNC Symbol;Acc:HGNC:4076]"
"ENSG00000256407","AL357673.1","novel transcript"
"ENSG00000100321","SYNGR1","synaptogyrin 1 [Source:HGNC Symbol;Acc:HGNC:11498]"
"ENSG00000187961","KLHL17","kelch like family member 17 [Source:HGNC Symbol;Acc:HGNC:24023]"
"ENSG00000244752","CRYBB2","crystallin beta B2 [Source:HGNC Symbol;Acc:HGNC:2398]"
"ENSG00000215883","CYB5RL","cytochrome b5 reductase like [Source:HGNC Symbol;Acc:HGNC:32220]"
"ENSG00000101333","PLCB4","phospholipase C beta 4 [Source:HGNC Symbol;Acc:HGNC:9059]"
"ENSG00000072110","ACTN1","actinin alpha 1 [Source:HGNC Symbol;Acc:HGNC:163]"
"ENSG00000135063","FAM189A2","family with sequence similarity 189 member A2 [Source:HGNC Symbol;Acc:HGNC:24820]"
"ENSG00000272916","AC022400.7","novel transcript"
"ENSG00000275214","IFI27","interferon alpha inducible protein 27 [Source:HGNC Symbol;Acc:HGNC:5397]"
"ENSG00000161013","MGAT4B","alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B [Source:HGNC Symbol;Acc:HGNC:7048]"
"ENSG00000153563","CD8A","CD8a molecule [Source:HGNC Symbol;Acc:HGNC:1706]"
"ENSG00000157193","LRP8","LDL receptor related protein 8 [Source:HGNC Symbol;Acc:HGNC:6700]"
"ENSG00000274193","KIR2DL4","killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4 [Source:HGNC Symbol;Acc:HGNC:6332]"
"ENSG00000166507","NDST2","N-deacetylase and N-sulfotransferase 2 [Source:HGNC Symbol;Acc:HGNC:7681]"
"ENSG00000264343","NOTCH2NLA","notch 2 N-terminal like A [Source:HGNC Symbol;Acc:HGNC:31862]"
"ENSG00000146039","SLC17A4","solute carrier family 17 member 4 [Source:HGNC Symbol;Acc:HGNC:10932]"
"ENSG00000277181","KIR3DL2","killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2 [Source:HGNC Symbol;Acc:HGNC:6339]"
"ENSG00000105939","ZC3HAV1","zinc finger CCCH-type containing, antiviral 1 [Source:HGNC Symbol;Acc:HGNC:23721]"
"ENSG00000271425","NBPF10","NBPF member 10 [Source:HGNC Symbol;Acc:HGNC:31992]"
"ENSG00000157216","SSBP3","single stranded DNA binding protein 3 [Source:HGNC Symbol;Acc:HGNC:15674]"
"ENSG00000285188","AC008397.2","cAMP-specific 3',5'-cyclic phosphodiesterase 4C  [Source:UniProtKB/Swiss-Prot;Acc:Q08493]"
"ENSG00000275618","BFAR","bifunctional apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:17613]"
"ENSG00000164151","ICE1","interactor of little elongation complex ELL subunit 1 [Source:HGNC Symbol;Acc:HGNC:29154]"
"ENSG00000284797","AC008397.1","novel protein"
"ENSG00000165525","NEMF","nuclear export mediator factor [Source:HGNC Symbol;Acc:HGNC:10663]"
"ENSG00000274474","YWHAE","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon [Source:HGNC Symbol;Acc:HGNC:12851]"
"ENSG00000136146","MED4","mediator complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:17903]"
"ENSG00000174156","GSTA3","glutathione S-transferase alpha 3 [Source:HGNC Symbol;Acc:HGNC:4628]"
"ENSG00000100628","ASB2","ankyrin repeat and SOCS box containing 2 [Source:HGNC Symbol;Acc:HGNC:16012]"
"ENSG00000089123","TASP1","taspase 1 [Source:HGNC Symbol;Acc:HGNC:15859]"
"ENSG00000186166","CCDC84","coiled-coil domain containing 84 [Source:HGNC Symbol;Acc:HGNC:30460]"
"ENSG00000275821","LLCFC1","LLLL and CFNLAS motif containing 1 [Source:HGNC Symbol;Acc:HGNC:21750]"
"ENSG00000105011","ASF1B","anti-silencing function 1B histone chaperone [Source:HGNC Symbol;Acc:HGNC:20996]"
"ENSG00000172239","PAIP1","poly(A) binding protein interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:16945]"
"ENSG00000104064","GABPB1","GA binding protein transcription factor subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:4074]"
"ENSG00000137996","RTCA","RNA 3'-terminal phosphate cyclase [Source:HGNC Symbol;Acc:HGNC:17981]"
"ENSG00000131584","ACAP3","ArfGAP with coiled-coil, ankyrin repeat and PH domains 3 [Source:HGNC Symbol;Acc:HGNC:16754]"
"ENSG00000173212","MAB21L3","mab-21 like 3 [Source:HGNC Symbol;Acc:HGNC:26787]"
"ENSG00000197386","HTT","huntingtin [Source:HGNC Symbol;Acc:HGNC:4851]"
"ENSG00000032389","EIPR1","EARP complex and GARP complex interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:12383]"
"ENSG00000177994","C2orf73","chromosome 2 open reading frame 73 [Source:HGNC Symbol;Acc:HGNC:26861]"
"ENSG00000205863","C1QTNF9B","C1q and TNF related 9B [Source:HGNC Symbol;Acc:HGNC:34072]"
"ENSG00000153814","JAZF1","JAZF zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:28917]"
"ENSG00000177733","HNRNPA0","heterogeneous nuclear ribonucleoprotein A0 [Source:HGNC Symbol;Acc:HGNC:5030]"
"ENSG00000118181","RPS25","ribosomal protein S25 [Source:HGNC Symbol;Acc:HGNC:10413]"
"ENSG00000027001","MIPEP","mitochondrial intermediate peptidase [Source:HGNC Symbol;Acc:HGNC:7104]"
"ENSG00000165131","LLCFC1","LLLL and CFNLAS motif containing 1 [Source:HGNC Symbol;Acc:HGNC:21750]"
"ENSG00000145949","MYLK4","myosin light chain kinase family member 4 [Source:HGNC Symbol;Acc:HGNC:27972]"
"ENSG00000021776","AQR","aquarius intron-binding spliceosomal factor [Source:HGNC Symbol;Acc:HGNC:29513]"
"ENSG00000137992","DBT","dihydrolipoamide branched chain transacylase E2 [Source:HGNC Symbol;Acc:HGNC:2698]"
"ENSG00000170846","AC093323.1","Putative MORF4 family-associated protein 1-like protein UPP  [Source:UniProtKB/Swiss-Prot;Acc:B2RBV5]"
"ENSG00000146376","ARHGAP18","Rho GTPase activating protein 18 [Source:HGNC Symbol;Acc:HGNC:21035]"
"ENSG00000107282","APBA1","amyloid beta precursor protein binding family A member 1 [Source:HGNC Symbol;Acc:HGNC:578]"
"ENSG00000165516","KLHDC2","kelch domain containing 2 [Source:HGNC Symbol;Acc:HGNC:20231]"
"ENSG00000106052","TAX1BP1","Tax1 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:11575]"
"ENSG00000112877","CEP72","centrosomal protein 72 [Source:HGNC Symbol;Acc:HGNC:25547]"
"ENSG00000055609","KMT2C","lysine methyltransferase 2C [Source:HGNC Symbol;Acc:HGNC:13726]"
"ENSG00000168830","HTR1E","5-hydroxytryptamine receptor 1E [Source:HGNC Symbol;Acc:HGNC:5291]"
"ENSG00000152270","PDE3B","phosphodiesterase 3B [Source:HGNC Symbol;Acc:HGNC:8779]"
"ENSG00000137700","SLC37A4","solute carrier family 37 member 4 [Source:HGNC Symbol;Acc:HGNC:4061]"
"ENSG00000050344","NFE2L3","nuclear factor, erythroid 2 like 3 [Source:HGNC Symbol;Acc:HGNC:7783]"
"ENSG00000182223","ZAR1","zygote arrest 1 [Source:HGNC Symbol;Acc:HGNC:20436]"
"ENSG00000163993","S100P","S100 calcium binding protein P [Source:HGNC Symbol;Acc:HGNC:10504]"
"ENSG00000064999","ANKS1A","ankyrin repeat and sterile alpha motif domain containing 1A [Source:HGNC Symbol;Acc:HGNC:20961]"
"ENSG00000171368","TPPP","tubulin polymerization promoting protein [Source:HGNC Symbol;Acc:HGNC:24164]"
"ENSG00000178988","MRFAP1L1","Morf4 family associated protein 1 like 1 [Source:HGNC Symbol;Acc:HGNC:28796]"
"ENSG00000072071","ADGRL1","adhesion G protein-coupled receptor L1 [Source:HGNC Symbol;Acc:HGNC:20973]"
"ENSG00000122565","CBX3","chromobox 3 [Source:HGNC Symbol;Acc:HGNC:1553]"
"ENSG00000031691","CENPQ","centromere protein Q [Source:HGNC Symbol;Acc:HGNC:21347]"
"ENSG00000186222","BLOC1S4","biogenesis of lysosomal organelles complex 1 subunit 4 [Source:HGNC Symbol;Acc:HGNC:24206]"
"ENSG00000187642","PERM1","PPARGC1 and ESRR induced regulator, muscle 1 [Source:HGNC Symbol;Acc:HGNC:28208]"
"ENSG00000167595","PROSER3","proline and serine rich 3 [Source:HGNC Symbol;Acc:HGNC:25204]"
"ENSG00000135346","CGA","glycoprotein hormones, alpha polypeptide [Source:HGNC Symbol;Acc:HGNC:1885]"
"ENSG00000157211","CDCP2","CUB domain containing protein 2 [Source:HGNC Symbol;Acc:HGNC:27297]"
"ENSG00000115421","PAPOLG","poly(A) polymerase gamma [Source:HGNC Symbol;Acc:HGNC:14982]"
"ENSG00000187583","PLEKHN1","pleckstrin homology domain containing N1 [Source:HGNC Symbol;Acc:HGNC:25284]"
"ENSG00000169972","PUSL1","pseudouridine synthase like 1 [Source:HGNC Symbol;Acc:HGNC:26914]"
"ENSG00000120053","GOT1","glutamic-oxaloacetic transaminase 1 [Source:HGNC Symbol;Acc:HGNC:4432]"
"ENSG00000161011","SQSTM1","sequestosome 1 [Source:HGNC Symbol;Acc:HGNC:11280]"
"ENSG00000169570","DTWD2","DTW domain containing 2 [Source:HGNC Symbol;Acc:HGNC:19334]"
"ENSG00000116221","MRPL37","mitochondrial ribosomal protein L37 [Source:HGNC Symbol;Acc:HGNC:14034]"
"ENSG00000278152","AL133414.6","killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 2"
"ENSG00000166448","TMEM130","transmembrane protein 130 [Source:HGNC Symbol;Acc:HGNC:25429]"
"ENSG00000165669","FAM204A","family with sequence similarity 204 member A [Source:HGNC Symbol;Acc:HGNC:25794]"
"ENSG00000031003","FAM13B","family with sequence similarity 13 member B [Source:HGNC Symbol;Acc:HGNC:1335]"
"ENSG00000132975","GPR12","G protein-coupled receptor 12 [Source:HGNC Symbol;Acc:HGNC:4466]"
"ENSG00000237313","LINC01556","long intergenic non-protein coding RNA 1556 [Source:HGNC Symbol;Acc:HGNC:21195]"
"ENSG00000198146","ZNF770","zinc finger protein 770 [Source:HGNC Symbol;Acc:HGNC:26061]"
"ENSG00000096968","JAK2","Janus kinase 2 [Source:HGNC Symbol;Acc:HGNC:6192]"
"ENSG00000086061","DNAJA1","DnaJ heat shock protein family (Hsp40) member A1 [Source:HGNC Symbol;Acc:HGNC:5229]"
"ENSG00000171827","ZNF570","zinc finger protein 570 [Source:HGNC Symbol;Acc:HGNC:26416]"
"ENSG00000171133","OR2K2","olfactory receptor family 2 subfamily K member 2 [Source:HGNC Symbol;Acc:HGNC:8264]"
"ENSG00000170871","KIAA0232","KIAA0232 [Source:HGNC Symbol;Acc:HGNC:28992]"
"ENSG00000161249","DMKN","dermokine [Source:HGNC Symbol;Acc:HGNC:25063]"
