speciesType	tissueType	UberonOntologyID	cancerType	cellType	cellName	CellOntologyID	cellMarker	geneSymbol	geneID	proteinName	proteinID	markerResource	PMID	Company
Human	Liver	UBERON_0002107	Normal	Normal cell	Hepatoblast	CL_0005026	CD45, CD71, DLK1, PDGFR-alpha, TER119	PTPRC, TFRC, DLK1, PDGFRA, NA	5788, 7037, 8788, 5156, NA	PTPRC, TFR1, DLK1, PGFRA, NA	P08575, P02786, P80370, P16234, NA	Experiment	24238062	NA
Human	Liver	UBERON_0002107	Normal	Normal cell	Mesenchymal cell	CL_0008019	CD45, CD71, DLK1, PDGFR-alpha, TER119	PTPRC, TFRC, DLK1, PDGFRA, NA	5788, 7037, 8788, 5156, NA	PTPRC, TFR1, DLK1, PGFRA, NA	P08575, P02786, P80370, P16234, NA	Experiment	24238062	NA
Human	Liver	UBERON_0002107	Normal	Normal cell	Endothelial cell	CL_0000115	CD45, CD71, DLK1, FLK1, TER119	PTPRC, TFRC, DLK1, KDR, NA	5788, 7037, 8788, 3791, NA	PTPRC, TFR1, DLK1, VGFR2, NA	P08575, P02786, P80370, P35968, NA	Experiment	24238062	NA
Human	Liver	UBERON_0002107	Normal	Normal cell	Hematopoietic cell	CL_0000988	CD45	PTPRC	5788	PTPRC	P08575	Experiment	24238062	NA
Human	Liver	UBERON_0002107	Normal	Normal cell	Hematopoietic cell	CL_0000988	CD71	TFRC	7037	TFR1	P02786	Experiment	24238062	NA
Human	Liver	UBERON_0002107	Normal	Normal cell	Hematopoietic cell	CL_0000988	TER119	NA	NA	NA	NA	Experiment	24238062	NA
Human	Liver	UBERON_0002107	Hepatocellular Cancer	Cancer cell	Cancer stem cell	NA	CD133	PROM1	8842	PROM1	O43490	Experiment	28034805	NA
Human	Undefined	NA	Hepatocellular Cancer	Cancer cell	Cancer stem cell	NA	CXCR4	CXCR4	7852	CXCR4	P61073	Experiment	28789425	NA
Human	Synovial fluid	UBERON_0001090	Normal	Normal cell	Mesenchymal stem cell	CL_0000134	CD90	THY1	7070	THY1	P04216	Experiment	29068101	NA
Human	Liver	UBERON_0002107	Normal	Normal cell	CD4+ T cell	CL_0000624	CD3, CD4	[CD3D, CD3E, CD3G], CD4	[915, 916, 917], 920	[CD3D, CD3E, CD3G], CD4	[P04234, P07766, P09693], P01730	Experiment	27781378	NA
Human	Liver	UBERON_0002107	Normal	Normal cell	CD8+ T cell	CL_0000625	CD3, CD8	[CD3D, CD3E, CD3G], CD8A	[915, 916, 917], 925	[CD3D, CD3E, CD3G], CD8A	[P04234, P07766, P09693], P01732	Experiment	27781378	NA
Human	Liver	UBERON_0002107	Normal	Normal cell	Monocyte	CL_0000576	CD14	CD14	929	CD14	P08571	Experiment	27781378	NA
Human	Liver	UBERON_0002107	Normal	Normal cell	Dendritic cell	CL_0000451	CD11c, HLA-DR	ITGAX, HLA-DR family	3687, HLA-DR family	ITAX, HLA-DR family	P20702, HLA-DR family	Experiment	27781378	NA
Human	Liver	UBERON_0002107	Normal	Normal cell	Natural killer cell	CL_0000623	CD16	[FCGR3A, FCGR3B]	[2214, 2215]	[FCG3A, FCG3B]	[P08637, O75015]	Experiment	27781378	NA
Human	Liver	UBERON_0002107	Normal	Normal cell	B cell	CL_0000236	CD19, CD20	CD19, MS4A1	930, 931	CD19, CD20	P15391, P11836	Experiment	27781378	NA
Human	Stomach	UBERON_0000945	Gastric Cancer	Cancer cell	Cancer stem cell	NA	CD44v8-10	CD44	960	CD44	P16070	Experiment	24618343	NA
Human	Periodontal ligament	UBERON_0008266	Normal	Normal cell	Periodontal stem cell	CL_0000034	SSEA-4, STRO-1	NA, NA	NA, NA	NA, NA	NA, NA	Experiment	24370188	NA
Human	Blood	UBERON_0000178	Normal	Normal cell	Natural regulatory T (Treg) cell	CL_0000903	CD6	CD6	923	CD6	P30203	Experiment	25088497	NA
Human	Blood	UBERON_0000178	Normal	Normal cell	FOXP3+ natural regulatory T (Treg) cell	CL_0000792	CD25, CD6, CD4	IL2RA, CD6, CD4	3559, 923, 920	IL2RA, CD68, CD4	P01589, P30203, P01730	Experiment	25088497	NA
Human	Stomach	UBERON_0000945	Gastric Cancer	Cancer cell	Cancer stem cell	NA	CD133	PROM1	8842	PROM1	O43490	Experiment	24062002	NA
Human	Peripheral blood	UBERON_0005408	Normal	Normal cell	Dendritic cell	CL_0000451	CD83	CD83	9308	CD83	Q01151	Experiment	29112895	NA
Human	Adipose tissue	UBERON_0001013	Normal	Normal cell	Beige adipogenic precursor cell	NA	EBF2	EBF2	64641	COE2	Q9HAK2	Experiment	25197048	NA
Human	Adipose tissue	UBERON_0001013	Normal	Normal cell	Brown adipogenic precursor cell	NA	EBF2	EBF2	64641	COE2	Q9HAK2	Experiment	25197048	NA
Human	Blood	UBERON_0000178	Normal	Normal cell	Platelet	CL_0000233	CD14	CD14	929	CD14	P08571	Experiment	27720831	NA
Human	Blood	UBERON_0000178	Normal	Normal cell	Leukocyte	CL_0000738	CD42b	GP1BA	2811	GP1BA	P07359	Experiment	27720831	NA
Human	Liver	UBERON_0002107	Normal	Normal cell	Cytotoxic T cell	CL_0000910	CD3, CD8	[CD3D, CD3E, CD3G], CD8A	[915, 916, 917], 925	[CD3D, CD3E, CD3G], CD8A	[P04234, P07766, P09693], P01732	Experiment	29117436	NA
Human	Liver	UBERON_0002107	Normal	Normal cell	Natural killer T (NKT) cell	CL_0000623	CD3, CD56	[CD3D, CD3E, CD3G], NCAM1	[915, 916, 917], 4684	[CD3D, CD3E, CD3G], NCAM1	[P04234, P07766, P09693], P13591	Experiment	29117436	NA
Human	Liver	UBERON_0002107	Normal	Normal cell	T helper cell	CL_0000912	CD3, CD4	[CD3D, CD3E, CD3G], CD4	[915, 916, 917], 920	[CD3D, CD3E, CD3G], CD4	[P04234, P07766, P09693], P01730	Experiment	29117436	NA
Human	Liver	UBERON_0002107	Normal	Normal cell	T cell	CL_0000084	CD3	[CD3D, CD3E, CD3G]	[915, 916, 917]	[CD3D, CD3E, CD3G]	[P04234, P07766, P09693]	Experiment	29117436	NA
Human	Liver	UBERON_0002107	Normal	Normal cell	Memory T cell	CL_0000813	CD3, CD45RO	[CD3D, CD3E, CD3G], PTPRC	[915, 916, 917], 5788	[CD3D, CD3E, CD3G], PTPRC	[P04234, P07766, P09693], P08575	Experiment	29117436	NA
Human	Liver	UBERON_0002107	Normal	Normal cell	B cell	CL_0000236	CD19	CD19	930	CD19	P15391	Experiment	29117436	NA
Human	Liver	UBERON_0002107	Normal	Normal cell	Monocyte	CL_0000576	CD14, CD16	CD14, [FCGR3A, FCGR3B]	929, [2214, 2215]	CD14, [FCG3A, FCG3B]	P08571, [P08637, O75015]	Experiment	29117436	NA
Human	Peripheral blood	UBERON_0005408	Normal	Normal cell	T helper cell	CL_0000912	CD3, CD4	[CD3D, CD3E, CD3G], CD4	[915, 916, 917], 920	[CD3D, CD3E, CD3G], CD4	[P04234, P07766, P09693], P01730	Experiment	28777444	NA
Human	Peripheral blood	UBERON_0005408	Normal	Normal cell	Memory T cell	CL_0000813	CD3, CD45RO	[CD3D, CD3E, CD3G], PTPRC	[915, 916, 917], 5788	[CD3D, CD3E, CD3G], PTPRC	[P04234, P07766, P09693], P08575	Experiment	28777444	NA
Human	Peripheral blood	UBERON_0005408	Normal	Normal cell	Regulatory T (Treg) cell	CL_0000815	CD25, CD3, CD4, FOXP3	IL2RA, [CD3D, CD3E, CD3G], CD4, FOXP3	3559, [915, 916, 917], 920, 50943	IL2RA, [CD3D, CD3E, CD3G], CD4, FOXP3	P01589, [P04234, P07766, P09693], P01730, Q9BZS1	Experiment	28777444	NA
Human	Peripheral blood	UBERON_0005408	Normal	Normal cell	T helper1 (Th1) cell	CL_0000545	CD3, CD4, IFN-gamma	[CD3D, CD3E, CD3G], CD4, IFNG	[915, 916, 917], 920, 3458	[CD3D, CD3E, CD3G], CD4, IFNG	[P04234, P07766, P09693], P01730, P01579	Experiment	28777444	NA
Human	Peripheral blood	UBERON_0005408	Normal	Normal cell	T helper2 (Th2) cell	CL_0000546	CD3, CD4, IL-4	[CD3D, CD3E, CD3G], CD4, IL4	[915, 916, 917], 920, 3565	[CD3D, CD3E, CD3G], CD4, IL4	[P04234, P07766, P09693], P01730, P05112	Experiment	28777444	NA
Human	Peripheral blood	UBERON_0005408	Normal	Normal cell	T helper17 (Th17) cell	CL_0000899	CD3, CD4, IL17Ra	[CD3D, CD3E, CD3G], CD4, IL17RA	[915, 916, 917], 920, 23765	[CD3D, CD3E, CD3G], CD4, I17RA	[P04234, P07766, P09693], P01730, Q96F46	Experiment	28777444	NA
Human	Peripheral blood	UBERON_0005408	Gastric Cancer	Cancer cell	Endothelial progenitor cell	CL_0002619	CD133, CD31, CD34, CD45	PROM1, PECAM1, CD34, PTPRC	8842, 5175, 947, 5788	PROM1, PECA1, CD34, PTPRC	O43490, P16284, P28906, P08575	Experiment	29391882	NA
Human	Peripheral blood	UBERON_0005408	Gastric Cancer	Cancer cell	Endothelial cell	CL_0000115	CD133, CD31, CD34, CD45	PROM1, PECAM1, CD34, PTPRC	8842, 5175, 947, 5788	PROM1, PECA1, CD34, PTPRC	O43490, P16284, P28906, P08575	Experiment	29391882	NA
Human	Undefined	NA	Normal	Normal cell	Mesenchymal stromal cell	CL_0000134	CD105, CD34, CD45, CD73, CD90	ENG, CD34, PTPRC, NT5E, THY1	2022, 947, 5788, 4907, 7070	EGLN, CD34, PTPRC, 5NTD, THY1	P17813, P28906, P08575, P21589, P04216	Experiment	27989346	NA
Human	Undefined	NA	Colorectal Cancer	Cancer cell	Cancer stem cell	NA	CD44, EpCAM	CD44, EPCAM	960, 4072	CD44, EPCAM	P16070, P16422	Experiment	24765173	NA
Human	Lung	UBERON_0002048	Lung Adenocarcinoma	Cancer cell	Cancer stem cell	NA	CD133	PROM1	8842	PROM1	O43490	Experiment	24502949	NA
Human	Lung	UBERON_0002048	Normal	Normal cell	Monocyte	CL_0000576	CD14	CD14	929	CD14	P08571	Experiment	29105205	NA
Human	Lung	UBERON_0002048	Normal	Normal cell	Plasmacytoid dendritic cell	CL_0000784	NRP1	NRP1	8829	NRP1	O14786	Experiment	29105205	NA
Human	Lung	UBERON_0002048	Normal	Normal cell	T helper cell	CL_0000912	CD42b	GP1BA	2811	GP1BA	P07359	Experiment	29105205	NA
Human	Blood	UBERON_0000178	Normal	Normal cell	Monocyte	CL_0000576	CD14	CD14	929	CD14	P08571	Experiment	29105205	NA
Human	Blood	UBERON_0000178	Normal	Normal cell	Plasmacytoid dendritic cell	CL_0000784	NRP1	NRP1	8829	NRP1	O14786	Experiment	29105205	NA
Human	Blood	UBERON_0000178	Normal	Normal cell	T helper cell	CL_0000912	CD42b	GP1BA	2811	GP1BA	P07359	Experiment	29105205	NA
Human	Undefined	NA	Cervical Cancer	Cancer cell	Cancer stem cell	NA	PIWIL1	PIWIL1	9271	PIWL1	Q96J94	Experiment	25119492	NA
Human	Lymph node	UBERON_0000029	Normal	Normal cell	Lymphatic endothelial cell	CL_0002138	CD31, CD34, Podoplanin, PROX1, VEGFR-3	PECAM1, CD34, PDPN, PROX1, FLT4	5175, 947, 10630, 5629, 2324	PECA1, CD34, PDPN, PROX1, VGFR3	P16284, P28906, Q86YL7, Q92786, P35916	Experiment	27172947	NA
Human	Undefined	NA	Normal	Normal cell	Fibroblast	CL_0000057	CD105, CD11b, CD19, CD34, CD44, CD45, CD73, CD90, HLA-DR	ENG, ITGAM, CD19, CD34, CD44, PTPRC, NT5E, THY1, HLA-DR family	2022, 3684, 930, 947, 960, 5788, 4907, 7070, HLA-DR family	EGLN, ITAM, CD19, CD34, CD44, PTPRC, 5NTD, THY1, HLA-DR family	P17813, P11215, P15391, P28906, P16070, P08575, P21589, P04216, HLA-DR family	Experiment	25112013	NA
Human	Peripheral blood	UBERON_0005408	Normal	Normal cell	Platelet	CL_0000233	CD41	ITGA2B	3674	ITA2B	P08514	Experiment	25251668	NA
Human	Colorectum	UBERON_0012652	Colorectum Cancer	Cancer cell	T cell	CL_0000084	CD3	[CD3D, CD3E, CD3G]	[915, 916, 917]	[CD3D, CD3E, CD3G]	[P04234, P07766, P09693]	Experiment	23981607	NA
Human	Blood	UBERON_0000178	Normal	Normal cell	Endothelial progenitor cell	CL_0002619	CD133, CD34, CD45	PROM1, CD34, PTPRC	8842, 947, 5788	PROM1, CD34, PTPRC	O43490, P28906, P08575	Experiment	24641802	NA
Human	Pancreatic islet	UBERON_0000006	Normal	Normal cell	Endocrine cell	CL_0000163	CD99	CD99	4267	CD99	P14209	Experiment	27687889	NA
Human	Placenta	UBERON_0001987	Normal	Normal cell	Mesenchymal stromal cell	CL_2000061	CD105, CD34, CD45, CD90, HLA-DR	ENG, CD34, PTPRC, THY1, HLA-DR family	2022, 947, 5788, 7070, HLA-DR family	EGLN, CD34, PTPRC, THY1, HLA-DR family	P17813, P28906, P08575, P04216, HLA-DR family	Experiment	29108631	NA
Human	Blood	UBERON_0000178	Normal	Normal cell	Responder T cell	CL_0000084	CD25, CD4, GARP	IL2RA, CD4, LRRC32	3559, 920, 2615	IL2RA, CD4, LRC32	P01589, P01730, Q14392	Experiment	24603196	NA
Human	Blood	UBERON_0000178	Normal	Normal cell	Regulatory T (Treg) cell	CL_0000815	GARP	LRRC32	2615	LRC32	Q14392	Experiment	24603196	NA
Human	Undefined	NA	Breast Cancer	Cancer cell	Cancer stem cell	NA	ALDH, CD24, CD44	ALDH family, CD24, CD44	ALDH family, 100133941, 960	ALDH family, CD24, CD44	ALDH family, P25063, P16070	Experiment	24041801	NA
Human	Bone marrow	UBERON_0002371	Normal	Normal cell	Mesenchymal stem cell	CL_0000134	CD34, CD45, CD73, CD90	CD34, PTPRC, NT5E, THY1	947, 5788, 4907, 7070	CD34, PTPRC, 5NTD, THY1	P28906, P08575, P21589, P04216	Experiment	29552046	NA
Human	Blood	UBERON_0000178	Gastric Cancer	Cancer cell	Cancer stem cell	NA	CD44	CD44	960	CD44	P16070	Experiment	28123556	NA
Human	Undefined	NA	Colorectal Cancer	Cancer cell	Cancer stem-like cell	NA	CD133	PROM1	8842	PROM1	O43490	Experiment	24905352	NA
Human	Adipose tissue	UBERON_0001013	Normal	Normal cell	Mesenchymal stem cell	CL_0000134	CD105, CD14, CD29, CD34, CD44, CD45, CD73, CD90	ENG, CD14, ITGB1, CD34, CD44, PTPRC, NT5E, THY1	2022, 929, 3688, 947, 960, 5788, 4907, 7070	EGLN, CD14, ITB1, CD34, CD44, PTPRC, 5NTD, THY1	P17813, P08571, P05556, P28906, P16070, P08575, P21589, P04216	Experiment	28334693	NA
Human	Undefined	NA	Head And Neck Squamous Cell Carcinoma	Cancer cell	Cancer stem cell	NA	CD44	CD44	960	CD44	P16070	Experiment	25280025	NA
Human	Adipose tissue	UBERON_0001013	Normal	Normal cell	Adipose-derived stem cell	CL_0000034	CD106, CD29, CD31, CD34, CD45, CD90	VCAM1, ITGB1, PECAM1, CD34, PTPRC, THY1	7412, 3688, 5175, 947, 5788, 7070	VCAM1, ITB1, PECA1, CD34, PTPRC, THY1	P19320, P05556, P16284, P28906, P08575, P04216	Experiment	29188405	NA
Human	Bone marrow	UBERON_0002371	Normal	Normal cell	Mesenchymal stem cell	CL_0000134	CD105, CD34, CD45, CD73, CD90	ENG, CD34, PTPRC, NT5E, THY1	2022, 947, 5788, 4907, 7070	EGLN, CD34, PTPRC, 5NTD, THY1	P17813, P28906, P08575, P21589, P04216	Experiment	29118937	NA
Human	Breast	UBERON_0000310	Breast Cancer	Cancer cell	Cancer stem cell	NA	CD24, CD44	CD24, CD44	100133941, 960	CD24, CD44	P25063, P16070	Experiment	28986882	NA
Human	Lung	UBERON_0002048	Lung Cancer	Cancer cell	Cancer stem cell	NA	ALDH1, CD133, CD166, CD44, CD90	ALDH1A1, PROM1, ALCAM, CD44, THY1	216, 8842, 214, 960, 7070	AL1A1, PROM1, CD166, CD44, THY1	P00352, O43490, Q13740, P16070, P04216	Experiment	28986882	NA
Human	Colon	UBERON_0001155	Colorectal Cancer	Cancer cell	Cancer stem cell	NA	CD133, CD166, CD24, CD44	PROM1, ALCAM, CD24, CD44	8842, 214, 100133941, 960	PROM1, CD166, CD24, CD44	O43490, Q13740, P25063, P16070	Experiment	28986882	NA
Human	Skin	UBERON_0002097	Cutaneous Squamous Cell Carcinoma	Cancer cell	Cancer stem cell	NA	SOX2	SOX2	6657	SOX2	P48431	Experiment	25061226	NA
Human	Synovium	UBERON_0007616	Normal	Normal cell	Macrophage	CL_0000235	CD68	CD68	968	CD68	P34810	Experiment	25109449	NA
Human	Synovium	UBERON_0007616	Normal	Normal cell	Fibroblast	CL_0000057	CD90	THY1	7070	THY1	P04216	Experiment	25109449	NA
Human	Synovium	UBERON_0007616	Normal	Normal cell	T cell	CL_0000084	CD3	[CD3D, CD3E, CD3G]	[915, 916, 917]	[CD3D, CD3E, CD3G]	[P04234, P07766, P09693]	Experiment	25109449	NA
Human	Synovium	UBERON_0007616	Normal	Normal cell	B cell	CL_0000236	CD20	MS4A1	931	CD20	P11836	Experiment	25109449	NA
Human	Peripheral blood	UBERON_0005408	Normal	Normal cell	Naive B cell	CL_0000788	CD19, CD27, IgD	CD19, CD27, IgD family	930, 939, IgD family	CD19, CD27, IgD family	P15391, P26842, IgD family	Experiment	27780620	NA
Human	Peripheral blood	UBERON_0005408	Normal	Normal cell	Class-switched memory B cell	CL_0000972	CD19, CD27, IgD	CD19, CD27, IgD family	930, 939, IgD family	CD19, CD27, IgD family	P15391, P26842, IgD family	Experiment	27780620	NA
Human	Peripheral blood	UBERON_0005408	Normal	Normal cell	Non-switched memory B cell	CL_0000970	CD19, CD27, IgD	CD19, CD27, IgD family	930, 939, IgD family	CD19, CD27, IgD family	P15391, P26842, IgD family	Experiment	27780620	NA
Human	Peripheral blood	UBERON_0005408	Normal	Normal cell	Double-negative B cell	CL_0000236	CD19, CD27, IgD	CD19, CD27, IgD family	930, 939, IgD family	CD19, CD27, IgD family	P15391, P26842, IgD family	Experiment	27780620	NA
Human	Peripheral blood	UBERON_0005408	Normal	Normal cell	Transitional B cell	CL_0000818	CD19, CD24, CD38	CD19, CD24, CD38	930, 100133941, 952	CD19, CD24, CD38	P15391, P25063, P28907	Experiment	27780620	NA
Human	Peripheral blood	UBERON_0005408	Normal	Normal cell	Plasmablast	CL_0000980	CD19, CD24, CD38	CD19, CD24, CD38	930, 100133941, 952	CD19, CD24, CD38	P15391, P25063, P28907	Experiment	27780620	NA
Human	Adipose tissue	UBERON_0001013	Normal	Normal cell	Adipose-derived stem cell	CL_0000034	CD105, c-Kit	ENG, KIT	2022, 3815	EGLN, KIT	P17813, P10721	Experiment	24713343	NA
Human	Pancreas	UBERON_0001264	Malignant Insulinoma	Cancer cell	Cancer stem cell	NA	CD90	THY1	7070	THY1	P04216	Experiment	27049037	NA
Human	Liver	UBERON_0002107	Liver Cancer	Cancer cell	Cancer stem cell	NA	CD133, CD24	PROM1, CD24	8842, 100133941	PROM1, CD24	O43490, P25063	Experiment	28671046	NA
Human	Oral mucosa	UBERON_0003729	Normal	Normal cell	Oral keratinocyte stem cell	CL_0000034	CD71, Integrin alpha6beta4	TFRC, [ITGA6, ITGB4]	7037, [3655, 3691]	TFR1, [ITA6, ITB4]	P02786, [P23229, P16144]	Experiment	24329011	NA
Human	Adipose tissue	UBERON_0001013	Normal	Normal cell	Mesenchymal stromal cell	CL_0000134	CD105, CD44, CD73, CD90	ENG, CD44, NT5E, THY1	2022, 960, 4907, 7070	EGLN, CD44, 5NTD, THY1	P17813, P16070, P21589, P04216	Experiment	27515308	NA
Human	Urine	UBERON_0001088	Normal	Normal cell	Urine-derived stem cell	NA	CD105, CD117, CD133, CD14, CD146, CD24, CD29, CD31, CD34, CD44, CD45, CD73, CD90, SSEA-4, STRO-1	ENG, KIT, PROM1, CD14, MCAM, CD24, ITGB1, PECAM1, CD34, CD44, PTPRC, NT5E, THY1, NA, NA	2022, 3815, 8842, 929, 4162, 100133941, 3688, 5175, 947, 960, 5788, 4907, 7070, NA, NA	EGLN, KIT, PROM1, CD14, MUC18, CD24, ITB1, PECA1, CD34, CD44, PTPRC, 5NTD, THY1, NA, NA	P17813, P10721, O43490, P08571, P43121, P25063, P05556, P16284, P28906, P16070, P08575, P21589, P04216, NA, NA	Experiment	24945524	NA
Human	Skeletal muscle	UBERON_0014892	Normal	Normal cell	Myogenic endothelial cell	CL_0000115	CD144, CD34, CD45, CD56	CDH5, CD34, PTPRC, NCAM1	1003, 947, 5788, 4684	CADH5, CD34, PTPRC, NCAM1	P33151, P28906, P08575, P13591	Experiment	25177794	NA
Human	Skeletal muscle	UBERON_0014892	Normal	Normal cell	Pericyte	CL_0000669	CD146, CD34, CD45, CD56	MCAM, CD34, PTPRC, NCAM1	4162, 947, 5788, 4684	MUC18, CD34, PTPRC, NCAM1	P43121, P28906, P08575, P13591	Experiment	25177794	NA
Human	Skeletal muscle	UBERON_0014892	Normal	Normal cell	Adventitial cell	CL_0002503	CD31, CD34, CD45, CD56	PECAM1, CD34, PTPRC, NCAM1	5175, 947, 5788, 4684	PECA1, CD34, PTPRC, NCAM1	P16284, P28906, P08575, P13591	Experiment	25177794	NA
Human	Blood	UBERON_0000178	Normal	Normal cell	White blood cell	CL_0000738	CD45	PTPRC	5788	PTPRC	P08575	Experiment	29336105	NA
Human	Undefined	NA	Hepatocellular Cancer	Cancer cell	Cancer stem cell	NA	LIN28B	LIN28B	389421	LN28B	Q6ZN17	Experiment	24244607	NA
Human	Endometrium	UBERON_0001295	Normal	Normal cell	Mesenchymal stem cell	CL_0000134	CD105, CD14, CD166, CD34, CD45, CD73, CD90, HLA-ABC, HLA-DR, MHC class I	ENG, CD14, ALCAM, CD34, PTPRC, NT5E, THY1, HLA-ABC family, HLA-DR family, MHC class I	2022, 929, 214, 947, 5788, 4907, 7070, HLA-ABC family, HLA-DR family, MHC class I	EGLN, CD14, CD166, CD34, PTPRC, 5NTD, THY1, HLA-ABC family, HLA-DR family, MHC class I	P17813, P08571, Q13740, P28906, P08575, P21589, P04216, HLA-ABC family, HLA-DR family, MHC class I	Experiment	28761446	NA
Human	Undefined	NA	Ovarian Teratocarcinoma	Cancer cell	Cancer stem cell	NA	CD133	PROM1	8842	PROM1	O43490	Experiment	24793306	NA
Human	Undefined	NA	Astroblastoma	Cancer cell	Cancer stem cell	NA	CD105, CD14, CD29, CD31, CD34, CD44, CD45, CD73, CD90	ENG, CD14, ITGB1, PECAM1, CD34, CD44, PTPRC, NT5E, THY1	2022, 929, 3688, 5175, 947, 960, 5788, 4907, 7070	EGLN, CD14, ITB1, PECA1, CD34, CD44, PTPRC, 5NTD, THY1	P17813, P08571, P05556, P16284, P28906, P16070, P08575, P21589, P04216	Experiment	28232116	NA
Human	Eye	UBERON_0000970	Normal	Normal cell	Pigment epithelial cell	CL_0002586	RPE65	RPE65	6121	RPE65	Q16518	Experiment	24265548	NA
Human	Eye	UBERON_0000970	Normal	Normal cell	Bipolar cell	NA	PKC-alpha	PRKCA	5578	KPCA	P17252	Experiment	24265548	NA
Human	Eye	UBERON_0000970	Normal	Normal cell	Amacrine cell	CL_0000561	CRABPI	CRABP1	1381	RABP1	P29762	Experiment	24265548	NA
Human	Eye	UBERON_0000970	Normal	Normal cell	Neural progenitor cell	NA	Nestin	NES	10763	NEST	P48681	Experiment	24265548	NA
Human	Blood	UBERON_0000178	Normal	Normal cell	Immature transitional B cell	CL_0000818	CD19, CD24, CD38	CD19, CD24, CD38	930, 100133941, 952	CD19, CD24, CD38	P15391, P25063, P28907	Experiment	25015272	NA
Human	Blood	UBERON_0000178	Normal	Normal cell	Naive B cell	CL_0000788	CD19, CD24, CD38	CD19, CD24, CD38	930, 100133941, 952	CD19, CD24, CD38	P15391, P25063, P28907	Experiment	25015272	NA
Human	Blood	UBERON_0000178	Normal	Normal cell	Memory B cell	CL_0000787	CD19, CD27	CD19, CD27	930, 939	CD19, CD27	P15391, P26842	Experiment	25015272	NA
Human	Blood	UBERON_0000178	Normal	Normal cell	Naive B cell	CL_0000788	CD27, IgD	CD27, IgD family	939, IgD family	D27, IgD family	P26842, IgD family	Experiment	28929596	NA
Human	Blood	UBERON_0000178	Normal	Normal cell	Non-switched B cell	CL_0000236	CD27, IgD	CD27, IgD family	939, IgD family	D27, IgD family	P26842, IgD family	Experiment	28929596	NA
Human	Blood	UBERON_0000178	Normal	Normal cell	Switched memory B cell	CL_0000972	CD27, IgD	CD27, IgD family	939, IgD family	D27, IgD family	P26842, IgD family	Experiment	28929596	NA
Human	Blood	UBERON_0000178	Normal	Normal cell	Transitional B cell	CL_0000818	CD24, CD38	CD24, CD38	100133941, 952	CD24, CD38	P25063, P28907	Experiment	28929596	NA
Human	Blood	UBERON_0000178	Normal	Normal cell	Plasmablast	CL_0000980	CD38, IgM	CD38, CD40LG	952, 959	CD38, CD40L	P28907, P29965	Experiment	28929596	NA
Human	Blood	UBERON_0000178	Normal	Normal cell	Effector CD4+ memory T (Tem) cell	CL_0000905	CCR7, CD45RA	CCR7, PTPRC	1236, 5788	CCR7, PTPRC	P32248, P08575	Experiment	28929596	NA
Human	Peripheral blood	UBERON_0005408	Normal	Normal cell	Endothelial progenitor cell	CL_0002619	CD133, KDR	PROM1, KDR	8842, 3791	PROM1, VGFR2	O43490, P35968	Experiment	29147957	NA
Human	Esophagus	UBERON_0001043	Normal	Normal cell	Esophageal mucosal cell	NA	DCLK1	DCLK1	9201	DCLK1	O15075	Experiment	25283374	NA
Human	Umbilical cord blood	UBERON_0012168	Normal	Normal cell	Hematopoietic stem cell	CL_0000037	CD133	PROM1	8842	PROM1	O43490	Experiment	25181353	NA
Human	Umbilical cord blood	UBERON_0012168	Normal	Normal cell	Hematopoietic progenitor cell	CL_0002031	CD34	CD34	947	CD34	P28906	Experiment	25181353	NA
Human	Undefined	NA	Prostate Cancer	Cancer cell	B cell	CL_0000236	CD20	MS4A1	931	CD20	P11836	Experiment	24475900	NA
Human	Periodontal ligament	UBERON_0008266	Normal	Normal cell	Mesenchymal stem cell	CL_0000134	CD105, CD34, CD44, CD45, CD90	ENG, CD34, CD44, PTPRC, THY1	2022, 947, 960, 5788, 7070	EGLN, CD34, CD44, PTPRC, THY1	P17813, P28906, P16070, P08575, P04216	Experiment	28301220	NA
Human	Liver	UBERON_0002107	Liver Cancer	Cancer cell	Cancer stem cell	NA	EpCAM	EPCAM	4072	EPCAM	P16422	Experiment	28522194	NA
Human	Amniotic membrane	UBERON_0009742	Normal	Normal cell	Mesenchymal stromal cell	CL_2000061	CD105, CD166, CD73, CD90	ENG, ALCAM, NT5E, THY1	2022, 214, 4907, 7070	EGLN, CD166, 5NTD, THY1	P17813, Q13740, P21589, P04216	Experiment	24907728	NA
Human	Undefined	NA	Nasopharyngeal Cancer	Cancer cell	Cancer stem cell	NA	CD24	CD24	100133941	CD24	P25063	Experiment	24955581	NA
Human	Hair follicle	UBERON_0002073	Normal	Normal cell	Neural crest stem cell	CL_0000034	CD271, CD49d, HNK1	NGFR, ITGA4, CHST10	4804, 3676, 9486	TNR16, ITA4, CHSTA	CD24, P13612, O43529	Experiment	27431246	NA
Human	Peripheral blood	UBERON_0005408	Acute Myeloid Leukemia	Cancer cell	Myeloid stem cell	CL_0000049	human myeloid inhibitory C-lectin	NA	NA	NA	NA	Experiment	27734526	NA
Human	Bone marrow	UBERON_0002371	Normal	Normal cell	Hematopoietic stem cell	CL_0000037	CD34, CD38, CD90	CD34, CD38, THY1	947, 952, 7070	CD34, CD38, THY1	P28906, P28907, P04216	Experiment	24886724	NA
